itemid,name
50802,"BASE EXCESS (BLOOD, BLOOD GAS)"
50803,"CALCULATED BICARBONATE, WHOLE BLOOD (BLOOD, BLOOD GAS)"
50804,"CALCULATED TOTAL CO2 (BLOOD, BLOOD GAS)"
50805,"CARBOXYHEMOGLOBIN (BLOOD, BLOOD GAS)"
50806,"CHLORIDE, WHOLE BLOOD (BLOOD, BLOOD GAS)"
50807,"COMMENTS (BLOOD, BLOOD GAS)"
50808,"FREE CALCIUM (BLOOD, BLOOD GAS)"
50809,"GLUCOSE (BLOOD, BLOOD GAS)"
50810,"HEMATOCRIT, CALCULATED (BLOOD, BLOOD GAS)"
50811,"HEMOGLOBIN (BLOOD, BLOOD GAS)"
50812,"INTUBATED (BLOOD, BLOOD GAS)"
50813,"LACTATE (BLOOD, BLOOD GAS)"
50814,"METHEMOGLOBIN (BLOOD, BLOOD GAS)"
50815,"O2 FLOW (BLOOD, BLOOD GAS)"
50816,"OXYGEN (BLOOD, BLOOD GAS)"
50817,"OXYGEN SATURATION (BLOOD, BLOOD GAS)"
50818,"PCO2 (BLOOD, BLOOD GAS)"
50819,"PEEP (BLOOD, BLOOD GAS)"
50820,"PH (BLOOD, BLOOD GAS)"
50821,"PO2 (BLOOD, BLOOD GAS)"
50822,"POTASSIUM, WHOLE BLOOD (BLOOD, BLOOD GAS)"
50823,"REQUIRED O2 (BLOOD, BLOOD GAS)"
50824,"SODIUM, WHOLE BLOOD (BLOOD, BLOOD GAS)"
50825,"TEMPERATURE (BLOOD, BLOOD GAS)"
50826,"TIDAL VOLUME (BLOOD, BLOOD GAS)"
50827,"VENTILATION RATE (BLOOD, BLOOD GAS)"
50828,"VENTILATOR (BLOOD, BLOOD GAS)"
50829,"FLUID TYPE (OTHER BODY FLUID, BLOOD GAS)"
50830,"PCO2, BODY FLUID (OTHER BODY FLUID, BLOOD GAS)"
50831,"PH (OTHER BODY FLUID, BLOOD GAS)"
50832,"PO2, BODY FLUID (OTHER BODY FLUID, BLOOD GAS)"
50833,"POTASSIUM (OTHER BODY FLUID, BLOOD GAS)"
50834,"SODIUM, BODY FLUID (OTHER BODY FLUID, BLOOD GAS)"
50835,"ALBUMIN, ASCITES (ASCITES, CHEMISTRY)"
50836,"AMYLASE, ASCITES (ASCITES, CHEMISTRY)"
50837,"BICARBONATE, ASCITES (ASCITES, CHEMISTRY)"
50838,"BILIRUBIN, TOTAL, ASCITES (ASCITES, CHEMISTRY)"
50839,"CHLORIDE, ASCITES (ASCITES, CHEMISTRY)"
50840,"CHOLESTEROL, ASCITES (ASCITES, CHEMISTRY)"
50841,"CREATININE, ASCITES (ASCITES, CHEMISTRY)"
50842,"GLUCOSE, ASCITES (ASCITES, CHEMISTRY)"
50843,"LACTATE DEHYDROGENASE, ASCITES (ASCITES, CHEMISTRY)"
50844,"LIPASE, ASCITES (ASCITES, CHEMISTRY)"
50845,"MISCELLANEOUS, ASCITES (ASCITES, CHEMISTRY)"
50846,"OSMOLALITY, ASCITES (ASCITES, CHEMISTRY)"
50847,"POTASSIUM, ASCITES (ASCITES, CHEMISTRY)"
50848,"SODIUM, ASCITES (ASCITES, CHEMISTRY)"
50849,"TOTAL PROTEIN, ASCITES (ASCITES, CHEMISTRY)"
50850,"TRIGLYCERIDES, ASCITES (ASCITES, CHEMISTRY)"
50851,"UREA NITROGEN, ASCITES (ASCITES, CHEMISTRY)"
50852,"% HEMOGLOBIN A1C (BLOOD, CHEMISTRY)"
50853,"25-OH VITAMIN D (BLOOD, CHEMISTRY)"
50854,"ABSOLUTE A1C (BLOOD, CHEMISTRY)"
50855,"ABSOLUTE HEMOGLOBIN (BLOOD, CHEMISTRY)"
50856,"ACETAMINOPHEN (BLOOD, CHEMISTRY)"
50857,"ACETONE (BLOOD, CHEMISTRY)"
50858,"ACID PHOSPHATASE (BLOOD, CHEMISTRY)"
50859,"ACID PHOSPHATASE, NON-PROSTATIC (BLOOD, CHEMISTRY)"
50860,"AFP, MATERNAL SCREEN (BLOOD, CHEMISTRY)"
50861,"ALANINE AMINOTRANSFERASE (ALT) (BLOOD, CHEMISTRY)"
50862,"ALBUMIN (BLOOD, CHEMISTRY)"
50863,"ALKALINE PHOSPHATASE (BLOOD, CHEMISTRY)"
50864,"ALPHA-FETOPROTEIN (BLOOD, CHEMISTRY)"
50865,"AMIKACIN (BLOOD, CHEMISTRY)"
50866,"AMMONIA (BLOOD, CHEMISTRY)"
50867,"AMYLASE (BLOOD, CHEMISTRY)"
50868,"ANION GAP (BLOOD, CHEMISTRY)"
50869,"ANTI-DGP (IGA/IGG) (BLOOD, CHEMISTRY)"
50870,"ANTI-GLIADIN ANTIBODY, IGA (BLOOD, CHEMISTRY)"
50871,"ANTI-MITOCHONDRIAL ANTIBODY (BLOOD, CHEMISTRY)"
50872,"ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY (BLOOD, CHEMISTRY)"
50873,"ANTI-NUCLEAR ANTIBODY (BLOOD, CHEMISTRY)"
50874,"ANTI-NUCLEAR ANTIBODY, TITER (BLOOD, CHEMISTRY)"
50875,"ANTI-PARIETAL CELL ANTIBODY (BLOOD, CHEMISTRY)"
50876,"ANTI-SMOOTH MUSCLE ANTIBODY (BLOOD, CHEMISTRY)"
50877,"ANTI-THYROGLOBULIN ANTIBODIES (BLOOD, CHEMISTRY)"
50878,"ASPARATE AMINOTRANSFERASE (AST) (BLOOD, CHEMISTRY)"
50879,"BARBITURATE SCREEN (BLOOD, CHEMISTRY)"
50880,"BENZODIAZEPINE SCREEN (BLOOD, CHEMISTRY)"
50881,"BETA-2 MICROGLOBULIN (BLOOD, CHEMISTRY)"
50882,"BICARBONATE (BLOOD, CHEMISTRY)"
50883,"BILIRUBIN, DIRECT (BLOOD, CHEMISTRY)"
50884,"BILIRUBIN, INDIRECT (BLOOD, CHEMISTRY)"
50885,"BILIRUBIN, TOTAL (BLOOD, CHEMISTRY)"
50886,"BLOOD CULTURE HOLD (BLOOD, CHEMISTRY)"
50887,"BLUE TOP HOLD (BLOOD, CHEMISTRY)"
50888,"BLUE TOP HOLD FROZEN (BLOOD, CHEMISTRY)"
50889,"C-REACTIVE PROTEIN (BLOOD, CHEMISTRY)"
50890,"C3 (BLOOD, CHEMISTRY)"
50891,"C4 (BLOOD, CHEMISTRY)"
50892,"CA-125 (BLOOD, CHEMISTRY)"
50893,"CALCIUM, TOTAL (BLOOD, CHEMISTRY)"
50894,"CALCULATED FREE TESTOSTERONE (BLOOD, CHEMISTRY)"
50895,"CALCULATED TBG (BLOOD, CHEMISTRY)"
50896,"CALCULATED THYROXINE (T4) INDEX (BLOOD, CHEMISTRY)"
50897,"CALL (BLOOD, CHEMISTRY)"
50898,"CANCER ANTIGEN 27.29 (BLOOD, CHEMISTRY)"
50899,"CARBAMAZEPINE (BLOOD, CHEMISTRY)"
50900,"CARCINOEMBYRONIC ANTIGEN (CEA) (BLOOD, CHEMISTRY)"
50901,"CENTROMERE (BLOOD, CHEMISTRY)"
50902,"CHLORIDE (BLOOD, CHEMISTRY)"
50903,"CHOLESTEROL RATIO (TOTAL/HDL) (BLOOD, CHEMISTRY)"
50904,"CHOLESTEROL, HDL (BLOOD, CHEMISTRY)"
50905,"CHOLESTEROL, LDL, CALCULATED (BLOOD, CHEMISTRY)"
50906,"CHOLESTEROL, LDL, MEASURED (BLOOD, CHEMISTRY)"
50907,"CHOLESTEROL, TOTAL (BLOOD, CHEMISTRY)"
50908,"CK-MB INDEX (BLOOD, CHEMISTRY)"
50909,"CORTISOL (BLOOD, CHEMISTRY)"
50910,"CREATINE KINASE (CK) (BLOOD, CHEMISTRY)"
50911,"CREATINE KINASE, MB ISOENZYME (BLOOD, CHEMISTRY)"
50912,"CREATININE (BLOOD, CHEMISTRY)"
50913,"CRYOGLOBULIN (BLOOD, CHEMISTRY)"
50914,"CYCLOSPORIN (BLOOD, CHEMISTRY)"
50915,"D-DIMER (BLOOD, CHEMISTRY)"
50916,"DHEA-SULFATE (BLOOD, CHEMISTRY)"
50917,"DIGOXIN (BLOOD, CHEMISTRY)"
50918,"DOUBLE STRANDED DNA (BLOOD, CHEMISTRY)"
50919,"EDTA HOLD (BLOOD, CHEMISTRY)"
50920,"ESTIMATED GFR (MDRD EQUATION) (BLOOD, CHEMISTRY)"
50921,"ESTRADIOL (BLOOD, CHEMISTRY)"
50922,"ETHANOL (BLOOD, CHEMISTRY)"
50923,"FAX (BLOOD, CHEMISTRY)"
50924,"FERRITIN (BLOOD, CHEMISTRY)"
50925,"FOLATE (BLOOD, CHEMISTRY)"
50926,"FOLLICLE STIMULATING HORMONE (BLOOD, CHEMISTRY)"
50927,"GAMMA GLUTAMYLTRANSFERASE (BLOOD, CHEMISTRY)"
50928,"GASTRIN (BLOOD, CHEMISTRY)"
50929,"GENTAMICIN (BLOOD, CHEMISTRY)"
50930,"GLOBULIN (BLOOD, CHEMISTRY)"
50931,"GLUCOSE (BLOOD, CHEMISTRY)"
50932,"GRAY TOP HOLD (PLASMA) (BLOOD, CHEMISTRY)"
50933,"GREEN TOP HOLD (PLASMA) (BLOOD, CHEMISTRY)"
50934,"H (BLOOD, CHEMISTRY)"
50935,"HAPTOGLOBIN (BLOOD, CHEMISTRY)"
50936,"HCG, MATERNAL SCREEN (BLOOD, CHEMISTRY)"
50937,"HEPATITIS A VIRUS ANTIBODY (BLOOD, CHEMISTRY)"
50938,"HEPATITIS A VIRUS IGM ANTIBODY (BLOOD, CHEMISTRY)"
50939,"HEPATITIS B CORE ANTIBODY, IGM (BLOOD, CHEMISTRY)"
50940,"HEPATITIS B SURFACE ANTIBODY (BLOOD, CHEMISTRY)"
50941,"HEPATITIS B SURFACE ANTIGEN (BLOOD, CHEMISTRY)"
50942,"HEPATITIS B VIRUS CORE ANTIBODY (BLOOD, CHEMISTRY)"
50943,"HEPATITIS C VIRUS ANTIBODY (BLOOD, CHEMISTRY)"
50944,"HIV ANTIBODY (BLOOD, CHEMISTRY)"
50945,"HOMOCYSTEINE (BLOOD, CHEMISTRY)"
50946,"HUMAN CHORIONIC GONADOTROPIN (BLOOD, CHEMISTRY)"
50947,"I (BLOOD, CHEMISTRY)"
50948,"IMMUNOFIXATION (BLOOD, CHEMISTRY)"
50949,"IMMUNOGLOBULIN A (BLOOD, CHEMISTRY)"
50950,"IMMUNOGLOBULIN G (BLOOD, CHEMISTRY)"
50951,"IMMUNOGLOBULIN M (BLOOD, CHEMISTRY)"
50952,"IRON (BLOOD, CHEMISTRY)"
50953,"IRON BINDING CAPACITY, TOTAL (BLOOD, CHEMISTRY)"
50954,"LACTATE DEHYDROGENASE (LD) (BLOOD, CHEMISTRY)"
50955,"LIGHT GREEN TOP HOLD (BLOOD, CHEMISTRY)"
50956,"LIPASE (BLOOD, CHEMISTRY)"
50957,"LITHIUM (BLOOD, CHEMISTRY)"
50958,"LUTEINIZING HORMONE (BLOOD, CHEMISTRY)"
50959,"MACRO PROLACTIN (BLOOD, CHEMISTRY)"
50960,"MAGNESIUM (BLOOD, CHEMISTRY)"
50961,"METHOTREXATE (BLOOD, CHEMISTRY)"
50962,"N-ACETYLPROCAINAMIDE (NAPA) (BLOOD, CHEMISTRY)"
50963,"NTPROBNP (BLOOD, CHEMISTRY)"
50964,"OSMOLALITY, MEASURED (BLOOD, CHEMISTRY)"
50965,"PARATHYROID HORMONE (BLOOD, CHEMISTRY)"
50966,"PHENOBARBITAL (BLOOD, CHEMISTRY)"
50967,"PHENYTOIN (BLOOD, CHEMISTRY)"
50968,"PHENYTOIN, FREE (BLOOD, CHEMISTRY)"
50969,"PHENYTOIN, PERCENT FREE (BLOOD, CHEMISTRY)"
50970,"PHOSPHATE (BLOOD, CHEMISTRY)"
50971,"POTASSIUM (BLOOD, CHEMISTRY)"
50972,"PROCAINAMIDE (BLOOD, CHEMISTRY)"
50973,"PROLACTIN (BLOOD, CHEMISTRY)"
50974,"PROSTATE SPECIFIC ANTIGEN (BLOOD, CHEMISTRY)"
50975,"PROTEIN ELECTROPHORESIS (BLOOD, CHEMISTRY)"
50976,"PROTEIN, TOTAL (BLOOD, CHEMISTRY)"
50977,"QUINIDINE (BLOOD, CHEMISTRY)"
50978,"RAPAMYCIN (BLOOD, CHEMISTRY)"
50979,"RED TOP HOLD (BLOOD, CHEMISTRY)"
50980,"RHEUMATOID FACTOR (BLOOD, CHEMISTRY)"
50981,"SALICYLATE (BLOOD, CHEMISTRY)"
50982,"SEX HORMONE BINDING GLOBULIN (BLOOD, CHEMISTRY)"
50983,"SODIUM (BLOOD, CHEMISTRY)"
50984,"STAT (BLOOD, CHEMISTRY)"
50985,"STUDY TUBES (BLOOD, CHEMISTRY)"
50986,"TACROFK (BLOOD, CHEMISTRY)"
50988,"TESTOSTERONE (BLOOD, CHEMISTRY)"
50989,"TESTOSTERONE, FREE (BLOOD, CHEMISTRY)"
50990,"THEOPHYLLINE (BLOOD, CHEMISTRY)"
50991,"THYROGLOBULIN (BLOOD, CHEMISTRY)"
50992,"THYROID PEROXIDASE ANTIBODIES (BLOOD, CHEMISTRY)"
50993,"THYROID STIMULATING HORMONE (BLOOD, CHEMISTRY)"
50994,"THYROXINE (T4) (BLOOD, CHEMISTRY)"
50995,"THYROXINE (T4), FREE (BLOOD, CHEMISTRY)"
50996,"TISSUE TRANSGLUTAMINASE AB, IGA (BLOOD, CHEMISTRY)"
50997,"TOBRAMYCIN (BLOOD, CHEMISTRY)"
50998,"TRANSFERRIN (BLOOD, CHEMISTRY)"
50999,"TRICYCLIC ANTIDEPRESSANT SCREEN (BLOOD, CHEMISTRY)"
51000,"TRIGLYCERIDES (BLOOD, CHEMISTRY)"
51001,"TRIIODOTHYRONINE (T3) (BLOOD, CHEMISTRY)"
51002,"TROPONIN I (BLOOD, CHEMISTRY)"
51003,"TROPONIN T (BLOOD, CHEMISTRY)"
51004,"UE3, MATERNAL SCREEN (BLOOD, CHEMISTRY)"
51005,"UPTAKE RATIO (BLOOD, CHEMISTRY)"
51006,"UREA NITROGEN (BLOOD, CHEMISTRY)"
51007,"URIC ACID (BLOOD, CHEMISTRY)"
51008,"VALPROIC ACID (BLOOD, CHEMISTRY)"
51009,"VANCOMYCIN (BLOOD, CHEMISTRY)"
51010,"VITAMIN B12 (BLOOD, CHEMISTRY)"
51011,"ALBUMIN (CEREBROSPINAL FLUID (CSF), CHEMISTRY)"
51012,"BILIRUBIN, TOTAL, CSF (CEREBROSPINAL FLUID (CSF), CHEMISTRY)"
51013,"CHLORIDE, CSF (CEREBROSPINAL FLUID (CSF), CHEMISTRY)"
51014,"GLUCOSE, CSF (CEREBROSPINAL FLUID (CSF), CHEMISTRY)"
51015,"LACTATE DEHYDROGENASE, CSF (CEREBROSPINAL FLUID (CSF), CHEMISTRY)"
51016,"MISCELLANEOUS, CSF (CEREBROSPINAL FLUID (CSF), CHEMISTRY)"
51017,"PEP, CSF (CEREBROSPINAL FLUID (CSF), CHEMISTRY)"
51018,"TOTAL PROTEIN, CSF (CEREBROSPINAL FLUID (CSF), CHEMISTRY)"
51019,"ALBUMIN, JOINT FLUID (JOINT FLUID, CHEMISTRY)"
51020,"AMYLASE, JOINT FLUID (JOINT FLUID, CHEMISTRY)"
51021,"CREATININE, JOINT FLUID (JOINT FLUID, CHEMISTRY)"
51022,"GLUCOSE, JOINT FLUID (JOINT FLUID, CHEMISTRY)"
51023,"LD, JOINT FLUID (JOINT FLUID, CHEMISTRY)"
51024,"TOTAL PROTEIN, JOINT FLUID (JOINT FLUID, CHEMISTRY)"
51025,"ALBUMIN, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51026,"AMYLASE, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51027,"BICARBONATE, OTHER FLUID (OTHER BODY FLUID, CHEMISTRY)"
51028,"BILIRUBIN, TOTAL, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51029,"CALCIUM, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51030,"CHLORIDE, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51031,"CHOLESTEROL, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51032,"CREATININE, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51033,"FETALFN (OTHER BODY FLUID, CHEMISTRY)"
51034,"GLUCOSE, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51035,"LD, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51036,"LIPASE, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51037,"MAGNESIUM, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51038,"MISCELLANEOUS, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51039,"OSMOLALITY, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51040,"PHOSPHATE, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51041,"POTASSIUM, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51042,"SODIUM, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51043,"TOTAL PROTEIN, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51044,"TRIGLYCER (OTHER BODY FLUID, CHEMISTRY)"
51045,"UREA NITROGEN, BODY FLUID (OTHER BODY FLUID, CHEMISTRY)"
51046,"ALBUMIN, PLEURAL (PLEURAL, CHEMISTRY)"
51047,"AMYLASE, PLEURAL (PLEURAL, CHEMISTRY)"
51048,"BICARBONATE, PLEURAL (PLEURAL, CHEMISTRY)"
51049,"BILIRUBIN, TOTAL, PLEURAL (PLEURAL, CHEMISTRY)"
51050,"CHLORIDE, PLEURAL (PLEURAL, CHEMISTRY)"
51051,"CHOLESTEROL, PLEURAL (PLEURAL, CHEMISTRY)"
51052,"CREATININE, PLEURAL (PLEURAL, CHEMISTRY)"
51053,"GLUCOSE, PLEURAL (PLEURAL, CHEMISTRY)"
51054,"LACTATE DEHYDROGENASE, PLEURAL (PLEURAL, CHEMISTRY)"
51055,"LIPASE, PLEURAL (PLEURAL, CHEMISTRY)"
51056,"MISCELLANEOUS, PLEURAL (PLEURAL, CHEMISTRY)"
51057,"POTASSIUM, PLEURAL (PLEURAL, CHEMISTRY)"
51058,"SODIUM, PLEURAL (PLEURAL, CHEMISTRY)"
51059,"TOTAL PROTEIN, PLEURAL (PLEURAL, CHEMISTRY)"
51060,"TRIGLYCERIDES, PLEURAL (PLEURAL, CHEMISTRY)"
51061,"BICARBONATE, STOOL (STOOL, CHEMISTRY)"
51458,"WBC, PLEURAL (PLEURAL, HEMATOLOGY)"
51459,"YOUNG CELLS (PLEURAL, HEMATOLOGY)"
51460,"BLOOD, OCCULT (STOOL, HEMATOLOGY)"
51461,"AMMONIUM BIURATE (URINE, HEMATOLOGY)"
51462,"AMORPHOUS CRYSTALS (URINE, HEMATOLOGY)"
51463,"BACTERIA (URINE, HEMATOLOGY)"
51464,"BILIRUBIN (URINE, HEMATOLOGY)"
51465,"BILIRUBIN CRYSTALS (URINE, HEMATOLOGY)"
51466,"BLOOD (URINE, HEMATOLOGY)"
51467,"BROAD CASTS (URINE, HEMATOLOGY)"
51468,"CALCIUM CARBONATE CRYSTALS (URINE, HEMATOLOGY)"
51469,"CALCIUM OXALATE CRYSTALS (URINE, HEMATOLOGY)"
51470,"CALCIUM PHOSPHATE CRYSTALS (URINE, HEMATOLOGY)"
51471,"CELLULAR CAST (URINE, HEMATOLOGY)"
51472,"CHOLESTEROL CRYSTALS (URINE, HEMATOLOGY)"
51473,"CYSTEINE CRYSTALS (URINE, HEMATOLOGY)"
51474,"EOSINOPHILS (URINE, HEMATOLOGY)"
51475,"EPITHELIAL CASTS (URINE, HEMATOLOGY)"
51476,"EPITHELIAL CELLS (URINE, HEMATOLOGY)"
51477,"FREE FAT (URINE, HEMATOLOGY)"
51478,"GLUCOSE (URINE, HEMATOLOGY)"
51479,"GRANULAR CASTS (URINE, HEMATOLOGY)"
51480,"HEMATOCRIT (URINE, HEMATOLOGY)"
51481,"HEMOSIDERIN (URINE, HEMATOLOGY)"
51482,"HYALINE CASTS (URINE, HEMATOLOGY)"
51483,"HYPHENATED YEAST (URINE, HEMATOLOGY)"
51484,"KETONE (URINE, HEMATOLOGY)"
51485,"LEUCINE CRYSTALS (URINE, HEMATOLOGY)"
51486,"LEUKOCYTES (URINE, HEMATOLOGY)"
51487,"NITRITE (URINE, HEMATOLOGY)"
51488,"NON-SQUAMOUS EPITHELIAL CELLS (URINE, HEMATOLOGY)"
51489,"NONSQUAMOUS EPITHELIAL CELL (URINE, HEMATOLOGY)"
51490,"OVAL FAT BODY (URINE, HEMATOLOGY)"
51491,"PH (URINE, HEMATOLOGY)"
51492,"PROTEIN (URINE, HEMATOLOGY)"
51493,"RBC (URINE, HEMATOLOGY)"
51494,"RBC CASTS (URINE, HEMATOLOGY)"
51495,"RBC CLUMPS (URINE, HEMATOLOGY)"
51496,"REDUCING SUBSTANCES, URINE (URINE, HEMATOLOGY)"
51497,"RENAL EPITHELIAL CELLS (URINE, HEMATOLOGY)"
51498,"SPECIFIC GRAVITY (URINE, HEMATOLOGY)"
51499,"SPERM (URINE, HEMATOLOGY)"
51500,"SULFONAMIDES (URINE, HEMATOLOGY)"
51501,"TRANSITIONAL EPITHELIAL CELLS (URINE, HEMATOLOGY)"
51502,"TRICHOMONAS (URINE, HEMATOLOGY)"
51503,"TRIPLE PHOSPHATE CRYSTALS (URINE, HEMATOLOGY)"
51504,"TYROSINE CRYSTALS (URINE, HEMATOLOGY)"
51505,"URIC ACID CRYSTALS (URINE, HEMATOLOGY)"
51506,"URINE APPEARANCE (URINE, HEMATOLOGY)"
51507,"URINE CASTS, OTHER (URINE, HEMATOLOGY)"
51508,"URINE COLOR (URINE, HEMATOLOGY)"
51509,"URINE COMMENTS (URINE, HEMATOLOGY)"
51510,"URINE CRYSTALS, OTHER (URINE, HEMATOLOGY)"
51511,"URINE FAT BODIES (URINE, HEMATOLOGY)"
51512,"URINE MUCOUS (URINE, HEMATOLOGY)"
51513,"URINE SPECIMEN TYPE (URINE, HEMATOLOGY)"
51514,"UROBILINOGEN (URINE, HEMATOLOGY)"
51515,"WAXY CASTS (URINE, HEMATOLOGY)"
51516,"WBC (URINE, HEMATOLOGY)"
51517,"WBC CASTS (URINE, HEMATOLOGY)"
51518,"WBC CLUMPS (URINE, HEMATOLOGY)"
51519,"YEAST (URINE, HEMATOLOGY)"
51520,"ANTI-MC (BLOOD, CHEMISTRY)"
51521,"ACID PHOS (BLOOD, CHEMISTRY)"
51522,"PG (OTHER BODY FLUID, CHEMISTRY)"
51523,"GR HOLD (URINE, CHEMISTRY)"
51524,"FATTY (URINE, HEMATOLOGY)"
51525,"Billed (BLOOD, CHEMISTRY)"
51526,"FRUCAMN+ (BLOOD, CHEMISTRY)"
51527,"MS-DIA (BLOOD, CHEMISTRY)"
51528,"STDY HOLD (BLOOD, CHEMISTRY)"
51529,"eAG (BLOOD, CHEMISTRY)"
51530,"AF-AFP (OTHER BODY FLUID, CHEMISTRY)"
51531,"STDYURINE (URINE, CHEMISTRY)"
51532,"PLASMGN (BLOOD, HEMATOLOGY)"
51533,"WBCP (BLOOD, HEMATOLOGY)"
51534,"MYELOS (JOINT FLUID, HEMATOLOGY)"
51535,"CD55 (OTHER BODY FLUID, HEMATOLOGY)"
51536,"CD59 (OTHER BODY FLUID, HEMATOLOGY)"
51537,"TDT (OTHER BODY FLUID, HEMATOLOGY)"
51538,"A1c (BLOOD, CHEMISTRY)"
51539,"TACROFK_2 (BLOOD, CHEMISTRY)"
